cluster_ids	ids	response	scaled_scores	s1_score_scaled	s3_score_scaled	s1_score	s3_score	sentences				
1	379	'4'	0.35	0.3	0.4	'4'	'3'	Molti di questi velivoli furono distrutti in questo tipo di attacchi nei mesi successivi.	plane	0		
2	4317	'5'	0.85	1.3	0.4	'5'	'3'	Queste caratteristiche lo qualificarono più come un cacciabombardiere che non come un bombardiere medio.	plane	0		
3	975	'1'	-0.65	-2.7	1.4	'1'	'4'	Posteriormente terminava in una coda dall impennaggio tradizionale monoderiva dagli ampi piani di coda.	plane	0		
4	5566	'2'	-1.15	-1.7	-0.6	'2'	'2'	Il Portogallo ricevette ventiquattro Curtiss SB2C-5 insieme con parti di ricambio e accessori nel 1950.	plane	0		
5	3864	'3'	0.85	-0.7	2.4	'3'	'5'	"I velivoli portavano, oltre alle coccarde ed alle insegne francesi, anche quella polacca in fusoliera."	plane	0		
6	4945	'5'	0.85	1.3	0.4	'5'	'3'	Lo scopo dell XB-19 era quello di testare le caratteristiche di volo di bombardieri giganti.	plane	0		
7	8273	'5'	0.35	1.3	-0.6	'5'	'2'	L autorità aeroportuale ha in concessione l aeroporto dalla città di New York dal 1947.	airport	1		
8	6518	'5'	1.3	1.3		'5'	[]	Nel periodo estivo l aeroporto gestisce più di 60 voli di linea al giorno.	airport	1		
9	9857	'1'	-2.15	-2.7	-1.6	'1'	'1'	L aeroporto è stato inaugurato nel 1940 con un volo con destinazione la capitale.	airport	1		
10	6748	'5'	0.85	1.3	0.4	'5'	'3'	"Nel 1945 l aeroporto fu preso dagli Americani, che lo restituirono alla città nel 1949."	airport	1		
11	6195	'4'	-0.15	0.3	-0.6	'4'	'2'	Il 10 settembre 2016 a Boscomantico si sono festeggiati i 100 anni dell aeroporto.	airport	1		
12	9555	'3'	-0.15	-0.7	0.4	'3'	'3'	"Nel 1991 fu aperto ufficialmente l aeroporto ""Giuseppe Verdi"", realizzato tramite una società, la SO.GE.A.P."	airport	1		
13	17025	'3'	-0.65	-0.7	-0.6	'3'	'2'	"La canzone è stata bandita in molte stazioni radio, tranne in quella del Dr."	song	2		
14	15071	'5'	0.85	1.3	0.4	'5'	'3'	"Originariamente la canzone è stata scritta per l album d esordio ""The Scream"" del 1978."	song	2	-4	
15	22930	'4'	0.85	0.3	1.4	'4'	'4'	"La sua prima stagione nel Maryland si chiuse con 31 tackle e 9,5 sack."	football	3		
16	18780	'5'	0.35	1.3	-0.6	'5'	'2'	Il primo touchdown stagionale lo segnò nella vittoria della settimana 2 in casa dei Vikings.	football	3		
17	21619	'3'	-0.15	-0.7	0.4	'3'	'3'	Nella settimana 8 fece registrare il primo intercetto stagionale nella vittoria sugli Atlanta Falcons.	football	3		
18	23770	'4'	0.85	0.3	1.4	'4'	'4'	"Con essi disputò 37 gare su 41 come titolare, con 9 intercetti e un sack."	football	3		
19	22181	'5'	0.85	1.3	0.4	'5'	'3'	Breeland fu scelto dai Washington Redskins nel corso del quarto giro del Draft 2014.	football	3		
20	21927	'3'	-0.65	-0.7	-0.6	'3'	'2'	"Nel ""drive"" successivo, Hanie guidò i Bears a un secondo touchdown in soli 82 secondi."	football	3		
21	25271	'1'	-0.65	-2.7	1.4	'1'	'4'	"Se il suo pendant, l"" Aurora"" è nell atto di svegliarsi, il ""Crepuscolo"" dovrebbe coricarsi."	artwork	4		
22	29269	'3'	-0.65	-0.7	-0.6	'3'	'2'	"Lo stesso Doni aveva commissionato a Michelangelo il famoso ""Tondo Doni"", oggi agli Uffizi."	artwork	4		
23	25579	'4'	0.35	0.3	0.4	'4'	'3'	"Viardot assegnò per primo l opera a Raffaello, seguito da Passavant, Morelli e Pulzky ."	artwork	4		
24	25757	'4'	-0.15	0.3	-0.6	'4'	'2'	"Il dipinto ha subito una pulitura leggera, in occasione della mostra a Firenze nel 1922."	artwork	4		
25	25965	'5'	-0.15	1.3	-1.6	'5'	'1'	"""Il bacio"" è un dipinto a olio su tela, alto 99 e largo 81 centimetri."	artwork	4		
26	26185	'4'	-0.15	0.3	-0.6	'4'	'2'	"Gesti e sguardi si intrecciano tra i protagonisti, con un notevole senso di familiare naturalezza."	artwork	4		
27	35224	'5'	0.85	1.3	0.4	'5'	'3'	Nel giugno del 2015 arriva secondo nell Europeo per nazioni svoltosi a Čeboksary in Russia.	gymnast	5		
28	35875	'4'	0.35	0.3	0.4	'4'	'3'	"Dopo questo viaggio avventuroso di ventotto giorni, Airoldi, tuttavia, non poté partecipare alla maratona."	gymnast	5		
29	34271	'4'	0.35	0.3	0.4	'4'	'3'	"Agli europei indoor di Atene del 1985 concluse terzo con un lancio a 21,23 metri."	gymnast	5		
30	34567	'3'	-0.15	-0.7	0.4	'3'	'3'	Nel 2000 prese parte ai Giochi olimpici di Sydney ottenendo il quattordicesimo posto nell eptathlon.	gymnast	5		
31	31262	'4'	-0.65	0.3	-1.6	'4'	'1'	"Figlia unica, ha cominciato a praticare atletica leggera all età di 12 anni nel 2003."	gymnast	5		
32	33300	'3'	-0.15	-0.7	0.4	'3'	'3'	"Nel 2006, ad Atene, ha preso parte ai 3000 m piani della Coppa del Mondo."	gymnast	5		
33	40074	'3'	-0.15	-0.7	0.4	'3'	'3'	Tale configurazione telaistica ha permesso l ottenimento di un peso inferiore ai 950 kg.	car	6		
34	39554	'5'	0.85	1.3	0.4	'5'	'3'	Dal 2010 non viene più utilizzata ed è stata definitivamente sostituita dal nuovo telaio.	car	6		
35	41627	'5'	1.35	1.3	1.4	'5'	'4'	Nel 1934 il telaio venne modificato per avere una carreggiata e un avantreno più larghi.	car	6		
36	39716	'3'	-0.15	-0.7	0.4	'3'	'3'	Il motore era di cilindrata piuttosto bassa per essere un 8 cilindri: solo 1719 cm3.	car	6		
37	41916	'4'	0.85	0.3	1.4	'4'	'4'	"La ""X300"", inoltre, fu il primo modello ""XJ"" ad adottare i paraurti completamente in plastica."	car	6		
