sentences,cluster_ids,ids,wait_start,trial_sent_start,response,response_time
"'Tornato in Inghilterra, Musgrove diviene dal 1981 al 1984 l''allenatore dell''Exeter City.'",303,300996,9.80E-05,0.0003281,'1',1.141542437
'Per un periodo visse nella stessa pensione con Albert Ammons e Meade Lux Lewis.',234,231711,4.91584907,6.00004636,'4',1.215742326
'Si tratta di una storia d amore scritta intorno al 1600 da Vitsentzos Kornaros.',90,94797,11.21766027,12.00005095,'5',0.944660893
"'Viene convocato per gli Europei 2016 in Francia, in sostituzione dell''infortunato Alan Dzagoev.'",305,302671,16.91753341,18.00005315,'3',1.85225981
"'Il giornale venne venduto a Hearst Corporation nel 1972, che pubblicava il rivale American Record.'",244,244328,23.63245073,24.00015585,'3',2.749386976
"'La fullerite ultradura C ha una durezza molto elevata, superiore a quella del diamante.'",201,201094,30.90258167,30.90262415,'4',1.772546679
"'Quindi, passando attraverso diversi proprietari, giunse ad essere la sede odierna della Guardia di Finanza.'",55,54167,36.6334448,36.63348283,'5',0.608356017
"'Tre settimane dopo, invece, avvenne il secondo scontro nel quale Bruto fu rovinosamente battuto.'",181,183987,41.44851401,42.00000634,'5',2.008046084
"'Per Nancy Enright, Boromir è lo stereotipo tradizionale del potere maschile, mentre Ralph C.'",142,141664,48.02126151,48.02130003,'1',1.553172984
"'L Accademia ha correntemente circa 900 studenti, almeno un quarto di essi è straniero.'",368,371454,53.63516445,54.00000545,'2',2.385290721
"'A nord l''isola viene attraversata dal Ponte Massimiliano, che porta verso il Maximilianeum.'",161,164306,60.34761839,60.34765749,'4',3.504319158
"'Il nome del minerale è stato attribuito in onore di Pavel''Ivanovich Stepanov, geologo russo.'",200,199805,67.60437093,67.60440994,'5',0.921065225
'La biodisponibilità assoluta della molecola dopo somministrazione per os è all''incirca del 70%.',74,75586,72.50032667,72.50036669,'2',1.513069159
'Con la ha preso parte ai Giochi olimpici 1980 e ai FIBA EuroBasket 1983.',40,46370,77.85191236,78.0000038,'1',1.501087235
"'Esposizioni a lungo termine a solventi contenenti pseudocumene, può causare nervosia, tensione e bronchiti.'",76,74639,83.55246638,84.00000514,'2',3.839525222
"'Tuttavia i Rybaxel perderanno di nuovo contro i loro avversari, Cody Rhodes e Goldust.'",336,340722,91.8337872,91.83382557,'3',2.331281369
'Ciò rese l''Estonia il primo paese ad avere relazioni con i sovietici bolscevichi.',248,246941,98.1818939,98.18195626,'5',1.407076523
'Scrisse anche un contributo per la bibliografia del parlamentoPerplessità e riserve sulla riforma dei bilanci.',250,250407,103.3675221,103.3675599,'2',2.465056777
'La Grenadier Miniatures supportò il gioco con una linea di miniature prodotte su licenza.',154,154098,110.0336883,110.0337306,'3',1.700393165
'Ben presto incominciarono a circolare voci sulla sua intensa fede e si parlava di miracoli.',292,288214,115.7355097,115.7355482,'3',2.628273174
"'In Italia, la famiglia è rappresentata solo nel Nord, con la specie Cylindrotoma distinctissima.'",321,320690,122.5631954,122.563267,'1',2.443979202
'Il tracciato prosegue fino al raggiungimento del litorale che costeggia ininterrottamente fino al suo termine.',285,286168,128.9803231,128.9803616,'2',2.05443779
"'La divisa casalinga era costituita da una maglietta a strisce rossonere, pantaloncini e calzettoni neri.'",333,334176,135.251304,135.2513432,'5',1.387541815
'Il numero dei suoi locutori varia fortemente in funzione della metodologia impiegata per calcolarlo.',172,172120,140.815515,140.815557,'3',2.124311999
"'Giulia Pincerato inizia la sua carriera pallavolistica nella squadra giovanile di Legnaro, nel 1999.'",382,381433,146.9164077,146.9164465,'4',1.177706573
"'È parte dell''itinerario che congiunge Berlino alla Slesia, proseguendo in territorio polacco come A18.'",288,285081,152.0632379,152.0632814,'4',2.047484182
'L''autorità aeroportuale ha in concessione l''aeroporto dalla città di New York dal 1947.',7,8273,158.0647522,158.064821,'5',1.128371751
'Agli US Open esce al primo turno di qualificazioni contro la greca Maria Sakkari.',361,360599,163.0834949,163.0835339,'4',1.238018843
'Numerosi esempi sono stati trovati nelle carte del notaio Giacomo Zabbara risalenti al 1486-1501.',174,173312,168.3157658,168.3158039,'4',3.242133122
'Vinse anche una tappa al Giro di Svizzera nel 1946 e la Zurigo-Losanna nel 1947.',104,106840,175.5493308,175.5493869,'5',0.722942683
'Sempre il 25 ottobre viene festeggiato a Monti di cui è anche Santo patrono.',294,293764,180.5007804,180.5008187,'4',1.568612019
"'In quella stagione si classificò quarto nella classifica finale del motomondiale, sua migliore prestazione.'",217,214057,186.0824657,186.0825048,'5',1.369058081
"'La richiesta viene accolta, ma non sarà poi messa in pratica, probabilmente per motivi economici.'",272,270967,191.4665534,192.0000067,'5',1.503304496
'Al suo interno nel 2004 è stato aperto un museo dedicato alla storia dell''Amburgo.',329,324737,197.6986035,198.0000067,'4',2.878377218
"'Alprazolam è ampiamente metabolizzato nell''organismo umano, in particolare grazie al citocromo P450 3A4.'",72,74564,204.8796568,204.8797286,'3',3.046959351
'Il Cando o Rio Cando è un piccolo torrente della Repubblica di San Marino.',279,276352,211.6989516,211.6989895,'2',3.077070009
'Un antica copia del Codex Amiatinus è tutt oggi la Bibbia personale del Papa.',49,52326,218.7677307,218.7677895,'2',1.669192782
"'Dagli anni 1980, lo stadio ha ospitato per sei volte la nazionale calcistica italiana.'",325,328714,224.4962756,224.4963136,'5',0.94633944
'Chiama la signorina Holland e la incarica di far spedire la missiva a Meredith',52,51090,229.479197,229.4792351,'4',2.291615945
'Il dansi si può considerare derivato dalla rumba congolese degli anni 30 e sessanta.',239,234134,235.7179895,235.7180375,'3',1.491220765
'Poi Giuseppe Viani lo fa esordire in Serie A il 20 marzo 1960 in Udinese-Milan.',306,303510,241.2445414,241.2445803,'5',1.019358032
"'Tentò così l''esperienza in Europa, ma non superò un provino sostenuto con il Sunderland.'",307,301080,246.4648849,246.4649279,'5',1.172458616
'Breeland fu scelto dai Washington Redskins nel corso del quarto giro del Draft 2014.',19,22181,251.6172163,252.0000053,'5',0.890496822
"'Nei 50m stile libero invece non riuscirà a raggiungere la finale, nuotando in 2502.'",343,344851,256.8965265,258.0000043,'2',3.185807144
"'Nel corso degli anni fu modificata la struttura dello stadio, ampliando la capacità dello stadio.'",324,325887,265.1977303,265.1977702,'3',3.226415617
'Il Portogallo ricevette ventiquattro Curtiss SB2C-5 insieme con parti di ricambio e accessori nel 1950.',4,5566,272.6528295,272.6528692,'2',3.167843612
'Ricevette il brevetto di sottotenente dell''Esercito degli Stati Uniti il 1o luglio del 1830.',184,189842,279.9985481,279.9985871,'5',0.834481532
'Segue la rosa delle giocatrici convocate per i XVII Giochi i piccoli stati d Europa.',341,337903,284.8616889,284.8617499,'2',1.948592646
"'Il coimperatore, infatti, non volle mai consumare il matrimonio perché riteneva Sofia troppo brutta.'",210,208695,291.0459639,291.0460031,'5',0.792246785
"'Tuttavia, durante la guerra tra Rann e Thanagar, i due inizieranno una relazione sentimentale.'",136,139024,295.8291899,295.8292524,'5',0.792317545
'Dal 2010 non viene più utilizzata ed è stata definitivamente sostituita dal nuovo telaio.',34,39554,300.6527556,300.652794,'5',1.143643297
'I Rutuli sono un gruppo etnico situato in Daghestan e in alcune località dell''Azerbaigian.',130,134823,305.7685895,306.0000066,'5',0.611631926
'La bukovskýite è un minerale che prende il nome dal chimico ceco Antonin Bukovsky.',197,201755,310.5781728,312.000004,'5',1.628010642
'Processione di San Ferdinando D Aragona con le reliquie per le vie di Alvignano',290,291428,317.5958866,318.0000045,'2',1.702518635
'Il 1997 cominciò con le premesse del 1996 ed ebbe le stesse conclusioni deludenti.',264,258896,323.68605,324.0000051,'5',1.955054423
'Follie del cinema è un film del 1932 diretto da Clyde Bruckman. con Harold Lloyd..',144,144631,329.947647,330.0000057,'5',1.181583255
