original_order,ids,cluster_type,sentences
314,316656,d2c,"Come lato B, il brano è arrivato alla 53a posizione di Billboard Hot 100."
305,303510,d2c,Poi Giuseppe Viani lo fa esordire in Serie A il 20 marzo 1960 in Udinese-Milan.
50,49018,d2c,"Fu rivisto e adattato agli altri racconti, quando fu inserito nella raccolta Mulliner Nights."
160,164306,d2c,"A nord l'isola viene attraversata dal Ponte Massimiliano, che porta verso il Maximilianeum."
350,353168,d2c,"Prikoly na peremenke è una serie televisiva russa, adattamento dell'italiana Quelli dell'intervallo."
42,45817,d2c,L 8 aprile 2009 DeRozan annuncia che entrerà a far parte del Draft NBA.
11,9555,d2c,"Nel 1991 fu aperto ufficialmente l'aeroporto Giuseppe Verdi, realizzato tramite una società, la SO.GE.A.P."
186,186697,d2c,"Nel 1934, prese parte alla notte dei lunghi coltelli contro le Sturmabteilung di Ernst Röhm."
8,9857,d2c,L'aeroporto è stato inaugurato nel 1940 con un volo con destinazione la capitale.
152,152181,d2c,Il gioco è stato creato dal matematico Alain Rivollet e dall'informatico Gaëtan Beaujannot.
2,975,d2c,Posteriormente terminava in una coda dall'impennaggio tradizionale monoderiva dagli ampi piani di coda.
86,91446,d2c,"In questo settore, come del resto in tanti altri, le privatizzazioni sono state limitate."
157,159661,d2c,Il suo primo gol'in NHL'arrivò il 12 novembre 2005 contro i Dallas Stars.
270,273798,d2c,Sopra l'altare è posta una copia della Vergine nera di Częstochowa risalente al 1720.
1,4317,d2c,Queste caratteristiche lo qualificarono più come un cacciabombardiere che non come un bombardiere medio.
235,237894,d2c,"Questi nuovi complessi incorporavano gli elementi più commerciali di alternative rock, emo e post-hardcore."
355,356124,d2c,Questo format era già stato sperimentato nel novembre 2007 ma abbandonato dopo poco tempo.
175,178047,d2c,"Da allora la stazione è il capolinea dell'attuale Linea Kachovskaya, staccatasi dalla Zamoskvoreckaja."
356,354161,d2c,Dal 2 maggio 2016 lo spazio dedicato al TG5 non va più in onda.
244,241225,d2c,Negli anni novanta la rivista continuò ad essere un punto di riferimento del settore.
165,165037,d2c,Diresse la piantagione con un pugno di ferro che portò al suo omicidio nel 1904.
341,343025,d2c,Nel luglio 2006 ha reso pubblico il suo fidanzamento con la cantante australiana Candice Alley.
