cluster_ids,ids,scaled_scores,unscaled_scores,s2_score_scaled,s4_score_scaled,s2_score,s4_score,s2_unscaled_score,s4_unscaled_score,category_id,category_name,sentences
336,337824,-0.645,1.0,-0.92,-0.37,'1','1',1,1,56,SportsTeam,La nazionale egiziana si è qualificata per i Giochi vincendo il torneo preolimpico africano.
337,339327,-0.645,1.0,-0.92,-0.37,'1','1',1,1,56,SportsTeam,Si tratta della rappresentativa più numerosa mai inviata da questo paese ai Giochi olimpici.
344,340182,-0.645,1.0,-0.92,-0.37,'1','1',1,1,56,SportsTeam,"Il Comitato Olimpico del Qatar, creato nel 1979, venne riconosciuto dal CIO nel 1980."
349,340114,-0.645,1.0,-0.92,-0.37,'1','1',1,1,56,SportsTeam,La nazionale australiana si è qualificata per i Giochi vincendo il campionato oceaniano del 2007.
338,340711,-0.145,1.5,0.08,-0.37,'2','1',2,1,56,SportsTeam,"Il Comitato Olimpico Monegasco, fondato nel 1907, è stato ammesso al CIO nel 1953."
339,341195,-0.145,1.5,0.08,-0.37,'2','1',2,1,56,SportsTeam,"Il Consiglio Olimpico della Malesia, creato nel 1953, venne riconosciuto dal CIO nel 1954."
340,340719,-0.145,1.5,0.08,-0.37,'2','1',2,1,56,SportsTeam,La nazionale australiana si è qualificata per i Giochi vincendo il campionato mondiale del 2006.
131,124825,-0.645,1.0,-0.92,-0.37,'1','1',1,1,20,Disease,Si dispone di un certo numero di farmaci che risultano efficaci contro la scabbia.
125,122755,-0.145,1.5,0.08,-0.37,'2','1',2,1,20,Disease,A seguito alla diagnosi della sindrome non si rende necessario alcun tipo di follow up.
126,122415,-0.145,1.5,0.08,-0.37,'2','1',2,1,20,Disease,"In altri testi invece, soprattutto quelli più recenti, è sviluppato ampiamente come entità nosologica."
127,121066,-0.145,1.5,0.08,-0.37,'2','1',2,1,20,Disease,"Il virus parainfluenzale umano produce tipicamente un infiammazione del naso, della gola e dei bronchi."
146,133069,-0.645,1.0,-0.92,-0.37,'1','1',1,1,22,EthnicGroup,"Nel 2002 si tenta di approvare la legge della Regione, che però fu respinta."
145,136987,-0.145,1.5,0.08,-0.37,'2','1',2,1,22,EthnicGroup,"Gli usbechi, inoltre, fanno parte dei 56 gruppi etnici riconosciuti ufficialmente dalla Repubblica popolare cinese."
16,12927,-0.645,1.0,-0.92,-0.37,'1','1',1,1,2,Album,"Tomorrowland è il quarto album in studio del cantautore statunitense Ryan Bingham, pubblicato nel 2012."
18,13333,-0.645,1.0,-0.92,-0.37,'1','1',1,1,2,Album,"Dal disco vengono estratti tre singoli Sogno d estate, Anima di vento e L'orizzonte."
109,111083,-0.645,1.0,-0.92,-0.37,'1','1',1,1,18,Decoration,L Ordine della Corona di Tonga è un ordine cavalleresco del regno di Tonga.
