cluster_ids,ids,scaled_scores,unscaled_scores,s2_score_scaled,s4_score_scaled,s2_score,s4_score,s2_unscaled_score,s4_unscaled_score,category_id,category_name,sentences
1,1589,-0.145,1.5,0.08,-0.37,'2','1',2,1,0,Aircraft,"Sull'aeroporto andarono distrutti al suolo ulteriori 14 aerei, mentre un altro D.510 rimase danneggiato."
2,3519,0.35500000000000004,2.0,1.08,-0.37,'3','1',3,1,0,Aircraft,"Caratterizzato dalla configurazione alare biplana, venne portato in volo per la prima volta nel 1924."
3,2757,-0.145,1.5,0.08,-0.37,'2','1',2,1,0,Aircraft,Così per una seconda volta Salvesen rallentò il suo apparecchio segnalando al caccia di allontanarsi.
4,7313,-0.145,1.5,0.08,-0.37,'2','1',2,1,1,Airport,"Nel 1960, venne votato come il più grande aeroporto del mondo dalla comunità mondiale aeronautica."
5,6525,0.855,2.5,0.08,1.63,'2','3',2,3,1,Airport,L'aeroporto genera il 10% della ricchezza creata nell'Île-de-France e fornisce lavoro a dipendenti.
6,11032,-0.14500000000000002,1.5,-0.92,0.63,'1','2',1,2,1,Airport,"Così era abbastanza lunga per i Jumbo Jet, il primo atterrò il 12 luglio 1970."
7,11427,-0.145,1.5,0.08,-0.37,'2','1',2,1,1,Airport,L'aeroporto è collegato con il centro di Fukuoka attraverso la Linea Kūkō della metropolitana.
8,10682,0.35500000000000004,2.0,1.08,-0.37,'3','1',3,1,1,Airport,"Nata nel 1986, è sede dei velivoli Airborne Warning and Control System Boeing E-3 Sentry."
9,10209,-0.145,1.5,0.08,-0.37,'2','1',2,1,1,Airport,Nel periodo dal 9 al 14 giugno 2009 è stato sede dei World Air Games.
10,7801,-0.145,1.5,0.08,-0.37,'2','1',2,1,1,Airport,L'aeroporto di Rostov sul Don è un aeroporto internazionale civile di I categoria ICAO.
11,10276,0.35500000000000004,2.0,1.08,-0.37,'3','1',3,1,1,Airport,L'aeroporto di Yiwu ha una pista lunga 2.500 metri e larga 45 metri.
12,9100,-0.645,1.0,-0.92,-0.37,'1','1',1,1,1,Airport,Durante il 2017 ha svolto i primi voli passeggeri operati da Qatar Airways e Emirates.
13,6273,-0.645,1.0,-0.92,-0.37,'1','1',1,1,1,Airport,Negli anni novanta l'Aeradria strinse accordi con la vicina Repubblica di San Marino.
14,6331,-0.145,1.5,0.08,-0.37,'2','1',2,1,1,Airport,"Nel 1990 all'aeroporto sono transitati 952.457 passeggeri, il numero massimo nella sua storia."
15,6459,-0.645,1.0,-0.92,-0.37,'1','1',1,1,1,Airport,L'aeroporto è aperto dalle 0500 alle 1900 esclusi il sabato e la domenica.
16,12927,-0.645,1.0,-0.92,-0.37,'1','1',1,1,2,Album,"Tomorrowland è il quarto album in studio del cantautore statunitense Ryan Bingham, pubblicato nel 2012."
17,13619,-0.145,1.5,0.08,-0.37,'2','1',2,1,2,Album,"Invisible è il terzo album in studio della cantante polacca Edyta Górniak, pubblicato nel 2002."
18,13333,-0.645,1.0,-0.92,-0.37,'1','1',1,1,2,Album,"Dal disco vengono estratti tre singoli Sogno d estate, Anima di vento e L'orizzonte."
19,14093,-0.145,1.5,0.08,-0.37,'2','1',2,1,2,Album,Il brano Ti ricordi il cielo è stato scritto da Venditti insieme al cantautore Pacifico.
20,22228,-0.145,1.5,0.08,-0.37,'2','1',2,1,3,AmericanFootballPlayer,Ellington fu scelto nel corso del sesto giro del Draft 2013 dagli Arizona Cardinals.
21,23759,0.35500000000000004,2.0,1.08,-0.37,'3','1',3,1,3,AmericanFootballPlayer,Huff fu scelto nel corso del quarto giro del Draft 2014 dai Tennessee Titans.
22,21221,0.35500000000000004,2.0,1.08,-0.37,'3','1',3,1,3,AmericanFootballPlayer,La sua prima stagione si chiuse con 8 ricezioni per 98 yard in 12 presenze.
23,22950,0.855,2.5,0.08,1.63,'2','3',2,3,3,AmericanFootballPlayer,"Nella successiva fece registrare 9 tackle in 11 presenze, nessuna delle quali come titolare."
24,21220,-0.645,1.0,-0.92,-0.37,'1','1',1,1,3,AmericanFootballPlayer,Stafford fu scelto nel corso del settimo giro del Draft 2013 dai Tennessee Titans.
25,19451,-0.145,1.5,0.08,-0.37,'2','1',2,1,3,AmericanFootballPlayer,Wolff fu scelto nel corso del quinto giro del Draft 2013 dai Philadelphia Eagles.
26,19476,-0.645,1.0,-0.92,-0.37,'1','1',1,1,3,AmericanFootballPlayer,Duper fu scelto nel corso del secondo giro del Draft 1982 dai Miami Dolphins.
27,18102,0.3549999999999999,2.0,-0.92,1.63,'1','3',1,3,3,AmericanFootballPlayer,Watford fu scelto nel corso del quarto giro del Draft 2013 dagli Arizona Cardinals.
28,20280,-0.145,1.5,0.08,-0.37,'2','1',2,1,3,AmericanFootballPlayer,"Dopo la conquista del secondo anello, Elway decise per il ritiro dall'attività agonistica."
29,19629,-0.645,1.0,-0.92,-0.37,'1','1',1,1,3,AmericanFootballPlayer,"Il 4 maggio 2012, Crawford firmò con la franchigia della capitale nordamericana un contratto quadriennale."
30,18633,0.35500000000000004,2.0,1.08,-0.37,'3','1',3,1,3,AmericanFootballPlayer,Nel suo primo anno New England vinse la AFC East con un record di 10-6.
31,27018,-0.645,1.0,-0.92,-0.37,'1','1',1,1,4,Artwork,Il paesaggio bucolico testimonia quel ritorno a temi giorgioneschi di Tiziano in quegli anni.
32,25458,-0.645,1.0,-0.92,-0.37,'1','1',1,1,4,Artwork,"Di seguito, invece, si riporta il commento che lo stesso Gauguin fornì della sua opera"
33,26562,-0.645,1.0,-0.92,-0.37,'1','1',1,1,4,Artwork,Come nell'altra opera però anche qui il panneggio appare pesante e quasi schiacciante.
34,26094,-0.145,1.5,0.08,-0.37,'2','1',2,1,4,Artwork,Il monumento venne completato nel 1927 ed inaugurato il 28 luglio di quell'anno.
35,24253,0.35500000000000004,2.0,1.08,-0.37,'3','1',3,1,4,Artwork,"Tipiche dell'Angelico sono le proporzione allungate, con le dita della mano della Vergine affusolate."
36,28048,0.355,2.0,0.08,0.63,'2','2',2,2,4,Artwork,Va altresì osservato che la forma del Fuji viene riproposta all'interno delle onde stesse.
37,27487,-0.145,1.5,0.08,-0.37,'2','1',2,1,4,Artwork,"Il pannello centrale mostra un Giudizio Universale, basato sulla visione dell'Apocalisse di Giovanni."
