cluster_ids,ids,scaled_scores,unscaled_scores,s1_score_scaled,s3_score_scaled,s1_score,s3_score,s1_unscaled_score,s3_unscaled_score,category_id,category_name,sentences
1,379,0.35,3.5,0.3,0.4,'4','3',4.0,3.0,0,Aircraft,Molti di questi velivoli furono distrutti in questo tipo di attacchi nei mesi successivi.
2,4317,0.8500000000000001,4.0,1.3,0.4,'5','3',5.0,3.0,0,Aircraft,Queste caratteristiche lo qualificarono più come un cacciabombardiere che non come un bombardiere medio.
3,975,-0.6500000000000001,2.5,-2.7,1.4,'1','4',1.0,4.0,0,Aircraft,Posteriormente terminava in una coda dall'impennaggio tradizionale monoderiva dagli ampi piani di coda.
4,5566,-1.15,2.0,-1.7,-0.6,'2','2',2.0,2.0,0,Aircraft,Il Portogallo ricevette ventiquattro Curtiss SB2C-5 insieme con parti di ricambio e accessori nel 1950.
5,3864,0.85,4.0,-0.7,2.4,'3','5',3.0,5.0,0,Aircraft,"I velivoli portavano, oltre alle coccarde ed alle insegne francesi, anche quella polacca in fusoliera."
6,4945,0.8500000000000001,4.0,1.3,0.4,'5','3',5.0,3.0,0,Aircraft,Lo scopo dell XB-19 era quello di testare le caratteristiche di volo di bombardieri giganti.
7,8273,0.35000000000000003,3.5,1.3,-0.6,'5','2',5.0,2.0,1,Airport,L'autorità aeroportuale ha in concessione l'aeroporto dalla città di New York dal 1947.
8,6518,1.3,5.0,1.3,,'5',[],5.0,,1,Airport,Nel periodo estivo l'aeroporto gestisce più di 60 voli di linea al giorno.
9,9857,-2.1500000000000004,1.0,-2.7,-1.6,'1','1',1.0,1.0,1,Airport,L'aeroporto è stato inaugurato nel 1940 con un volo con destinazione la capitale.
10,6748,0.8500000000000001,4.0,1.3,0.4,'5','3',5.0,3.0,1,Airport,"Nel 1945 l'aeroporto fu preso dagli Americani, che lo restituirono alla città nel 1949."
11,6195,-0.15,3.0,0.3,-0.6,'4','2',4.0,2.0,1,Airport,Il 10 settembre 2016 a Boscomantico si sono festeggiati i 100 anni dell'aeroporto.
12,9555,-0.14999999999999997,3.0,-0.7,0.4,'3','3',3.0,3.0,1,Airport,"Nel 1991 fu aperto ufficialmente l'aeroporto Giuseppe Verdi, realizzato tramite una società, la SO.GE.A.P."
13,17025,-0.6499999999999999,2.5,-0.7,-0.6,'3','2',3.0,2.0,2,Album,"La canzone è stata bandita in molte stazioni radio, tranne in quella del Dr."
14,15071,0.8500000000000001,4.0,1.3,0.4,'5','3',5.0,3.0,2,Album,Originariamente la canzone è stata scritta per l'album d esordio The Scream del 1978.
15,22930,0.85,4.0,0.3,1.4,'4','4',4.0,4.0,3,AmericanFootballPlayer,"La sua prima stagione nel Maryland si chiuse con 31 tackle e 9,5 sack."
16,18780,0.35000000000000003,3.5,1.3,-0.6,'5','2',5.0,2.0,3,AmericanFootballPlayer,Il primo touchdown stagionale lo segnò nella vittoria della settimana 2 in casa dei Vikings.
17,21619,-0.14999999999999997,3.0,-0.7,0.4,'3','3',3.0,3.0,3,AmericanFootballPlayer,Nella settimana 8 fece registrare il primo intercetto stagionale nella vittoria sugli Atlanta Falcons.
18,23770,0.85,4.0,0.3,1.4,'4','4',4.0,4.0,3,AmericanFootballPlayer,"Con essi disputò 37 gare su 41 come titolare, con 9 intercetti e un sack."
19,22181,0.8500000000000001,4.0,1.3,0.4,'5','3',5.0,3.0,3,AmericanFootballPlayer,Breeland fu scelto dai Washington Redskins nel corso del quarto giro del Draft 2014.
20,21927,-0.6499999999999999,2.5,-0.7,-0.6,'3','2',3.0,2.0,3,AmericanFootballPlayer,"Nel drive successivo, Hanie guidò i Bears a un secondo touchdown in soli 82 secondi."
21,25271,-0.6500000000000001,2.5,-2.7,1.4,'1','4',1.0,4.0,4,Artwork,"Se il suo pendant, l'Aurora è nell'atto di svegliarsi, il Crepuscolo dovrebbe coricarsi."
22,29269,-0.6499999999999999,2.5,-0.7,-0.6,'3','2',3.0,2.0,4,Artwork,"Lo stesso Doni aveva commissionato a Michelangelo il famoso Tondo Doni, oggi agli Uffizi."
23,25579,0.35,3.5,0.3,0.4,'4','3',4.0,3.0,4,Artwork,"Viardot assegnò per primo l'opera a Raffaello, seguito da Passavant, Morelli e Pulzky."
24,25757,-0.15,3.0,0.3,-0.6,'4','2',4.0,2.0,4,Artwork,"Il dipinto ha subito una pulitura leggera, in occasione della mostra a Firenze nel 1922."
25,25965,-0.15000000000000002,3.0,1.3,-1.6,'5','1',5.0,1.0,4,Artwork,"Il bacio è un dipinto a olio su tela, alto 99 e largo 81 centimetri."
26,26185,-0.15,3.0,0.3,-0.6,'4','2',4.0,2.0,4,Artwork,"Gesti e sguardi si intrecciano tra i protagonisti, con un notevole senso di familiare naturalezza."
