lstm18.py
18-07-14-13-29-24

lstm18.py[1.0343919573260063, 0.7232421875]
lstm18.py
18-07-14-13-29-24

_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
input_1 (InputLayer)         (None, 38)                0         
_________________________________________________________________
embedding_1 (Embedding)      (None, 38, 300)           75301800  
_________________________________________________________________
dropout_1 (Dropout)          (None, 38, 300)           0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 38, 600)           2162400   
_________________________________________________________________
dropout_2 (Dropout)          (None, 38, 600)           0         
_________________________________________________________________
dense_final (Dense)          (None, 38, 512)           307712    
_________________________________________________________________
lambda_1 (Lambda)            (None, 38, 512)           0         
_________________________________________________________________
flatten_1 (Flatten)          (None, 19456)             0         
_________________________________________________________________
dropout_3 (Dropout)          (None, 19456)             0         
_________________________________________________________________
softmax_final (Dense)        (None, 64)                1245248   
=================================================================
Total params: 79,017,160
Trainable params: 79,017,160
Non-trainable params: 0
_________________________________________________________________


loss: 1.034392
acc: 0.723242


Classification Report: 
\begin{tabular}{llrrrr}
{} &                   class &  f1\_score &  precision &  recall &  support \\
0  &                Aircraft &      0.77 &       0.82 &    0.73 &   1200.0 \\
1  &                 Airport &      0.81 &       0.86 &    0.77 &   1200.0 \\
2  &                   Album &      0.62 &       0.62 &    0.63 &   1200.0 \\
3  &  AmericanFootballPlayer &      0.92 &       0.96 &    0.89 &   1200.0 \\
4  &                 Artwork &      0.69 &       0.64 &    0.74 &   1200.0 \\
5  &         AthleticsPlayer &      0.78 &       0.80 &    0.76 &   1200.0 \\
6  &              Automobile &      0.84 &       0.80 &    0.89 &   1200.0 \\
7  &        BasketballPlayer &      0.74 &       0.66 &    0.84 &   1200.0 \\
8  &                    Book &      0.42 &       0.39 &    0.46 &   1200.0 \\
9  &                Building &      0.54 &       0.54 &    0.55 &   1200.0 \\
10 &                Cardinal &      0.60 &       0.54 &    0.68 &   1200.0 \\
11 &           CelestialBody &      0.95 &       0.94 &    0.95 &   1200.0 \\
12 &        ChemicalCompound &      0.82 &       0.88 &    0.77 &   1200.0 \\
13 &         ChristianBishop &      0.45 &       0.55 &    0.38 &   1200.0 \\
14 &                 Company &      0.54 &       0.55 &    0.54 &   1200.0 \\
15 &                 Country &      0.49 &       0.51 &    0.47 &   1200.0 \\
