cluster_ids,ids,scaled_scores,unscaled_scores,s1_score_scaled,s3_score_scaled,s1_score,s3_score,s1_unscaled_score,s3_unscaled_score,category_id,category_name,sentences
337,339288,-0.14999999999999997,3.0,-0.7,0.4,'3','3',3.0,3.0,56,SportsTeam,"Lo Shield ha quindi cominciato ad attaccare Kane, salvo ritirarsi quando gli Usos sono intervenuti."
339,339192,0.8500000000000001,4.0,1.3,0.4,'5','3',5.0,3.0,56,SportsTeam,"Portabandiera alla cerimonia d apertura è stata la trentottenne Valentyna Ševčenko, alla sua quinta Olimpiade."
340,337801,-1.1500000000000001,2.0,-2.7,0.4,'1','3',1.0,3.0,56,SportsTeam,"Anche se era ovviamente per attaccare la Kru, Konnan ha rifiutato la fiducia di Kip."
118,121123,-0.6499999999999999,2.5,-0.7,-0.6,'3','2',3.0,2.0,20,Disease,Per quanto riguarda l'origine della viremia esiste la suddivisione fra forma attiva e passiva
119,123522,0.35000000000000003,3.5,1.3,-0.6,'5','2',5.0,2.0,20,Disease,In Danimarca l'incidenza è più elevata e raggiunge i 41 casi per 100.000 persone.
120,125570,0.35000000000000003,3.5,1.3,-0.6,'5','2',5.0,2.0,20,Disease,La malattia di Crohn aumenta anche il rischio di cancro nella zona di infiammazione.
132,132960,-0.6499999999999999,2.5,-0.7,-0.6,'3','2',3.0,2.0,22,EthnicGroup,"Chiaramente, la tribù trae ancora grande orgoglio dalla sua prodezza e dal suo valore militari."
133,134137,-1.15,2.0,-1.7,-0.6,'2','2',2.0,2.0,22,EthnicGroup,"Era comune praticare la poligamia e durante i primi anni di matrimonio, la residenza uxorilocale."
13,17025,-0.6499999999999999,2.5,-0.7,-0.6,'3','2',3.0,2.0,2,Album,"La canzone è stata bandita in molte stazioni radio, tranne in quella del Dr."
109,112714,-0.15000000000000002,3.0,1.3,-1.6,'5','1',5.0,1.0,18,Decoration,L Ordine dei santi patroni d Italia fu un ordine cavalleresco della Repubblica sociale italiana.
107,112884,-0.6499999999999999,2.5,-0.7,-0.6,'3','2',3.0,2.0,18,Decoration,"La prima regolamentazione organica dell'onorificenza è stata approvata col Decret 22 giugno 2004, n."
110,112553,-0.15,3.0,0.3,-0.6,'4','2',4.0,2.0,18,Decoration,Sul retro la medaglia presenta un gladio romano attorniato da una corona d alloro.
111,113701,-1.6500000000000001,1.5,-2.7,-0.6,'1','2',1.0,2.0,18,Decoration,Questi è oggi stato canonizzato dalla chiesa ortodossa ed è lodato come eroe nazionale.
9,9857,-2.1500000000000004,1.0,-2.7,-1.6,'1','1',1.0,1.0,1,Airport,L'aeroporto è stato inaugurato nel 1940 con un volo con destinazione la capitale.
7,8273,0.35000000000000003,3.5,1.3,-0.6,'5','2',5.0,2.0,1,Airport,L'autorità aeroportuale ha in concessione l'aeroporto dalla città di New York dal 1947.
11,6195,-0.15,3.0,0.3,-0.6,'4','2',4.0,2.0,1,Airport,Il 10 settembre 2016 a Boscomantico si sono festeggiati i 100 anni dell'aeroporto.
308,309335,-0.15,3.0,0.3,-0.6,'4','2',4.0,2.0,51,Software,MariaDB si compila sia su processori a 32 bit sia su processori a 64.
312,308313,-0.6499999999999999,2.5,-0.7,-0.6,'3','2',3.0,2.0,51,Software,"Se dovessero sorgere problemi, VirtualBox ha un ricompilatore dinamico, come gli altri software di virtualizzazione."
311,309124,0.8500000000000001,4.0,1.3,0.4,'5','3',5.0,3.0,51,Software,Varie librerie sono state costruite sopra OpenGL per fornire funzionalità non disponibili in OpenGL stesso
16,18780,0.35000000000000003,3.5,1.3,-0.6,'5','2',5.0,2.0,3,AmericanFootballPlayer,Il primo touchdown stagionale lo segnò nella vittoria della settimana 2 in casa dei Vikings.
20,21927,-0.6499999999999999,2.5,-0.7,-0.6,'3','2',3.0,2.0,3,AmericanFootballPlayer,"Nel drive successivo, Hanie guidò i Bears a un secondo touchdown in soli 82 secondi."
